,Mob dist,Thresh,Anomaly
525,1.358059151,3.9431994502,False
526,1.3583427412,3.9431994502,False
527,1.358699658,3.9431994502,False
528,1.3590339956,3.9431994502,False
529,1.3594263578,3.9431994502,False
530,1.3599315677,3.9431994502,False
531,1.3603619584,3.9431994502,False
532,1.3606022786,3.9431994502,False
533,1.3609944778,3.9431994502,False
534,1.3613237828,3.9431994502,False
535,1.3616837733,3.9431994502,False
536,1.3620579404,3.9431994502,False
537,1.362394967,3.9431994502,False
538,1.3626706925,3.9431994502,False
539,1.3630478119,3.9431994502,False
540,1.3634114189,3.9431994502,False
541,1.3638046308,3.9431994502,False
542,1.3641378522,3.9431994502,False
543,1.3644982217,3.9431994502,False
544,1.3648304128,3.9431994502,False
545,1.3655097549,3.9431994502,False
546,1.3661312827,3.9431994502,False
547,1.3667428923,3.9431994502,False
548,1.3674500342,3.9431994502,False
549,1.3680550912,3.9431994502,False
550,1.3686465235,3.9431994502,False
551,1.3692439963,3.9431994502,False
552,1.369886641,3.9431994502,False
553,1.3705132659,3.9431994502,False
554,1.3711757222,3.9431994502,False
555,1.371840415,3.9431994502,False
556,1.3724621651,3.9431994502,False
557,1.3730506069,3.9431994502,False
558,1.3736636575,3.9431994502,False
559,1.3743472153,3.9431994502,False
560,1.3750093055,3.9431994502,False
561,1.3755873622,3.9431994502,False
562,1.3762671751,3.9431994502,False
563,1.3768433439,3.9431994502,False
564,1.3774976749,3.9431994502,False
565,1.3781223418,3.9431994502,False
566,1.3788150698,3.9431994502,False
567,1.3794214376,3.9431994502,False
568,1.377999873,3.9431994502,False
569,1.373484174,3.9431994502,False
570,1.3669459486,3.9431994502,False
571,1.3674630764,3.9431994502,False
572,1.3783775322,3.9431994502,False
573,1.3683935257,3.9431994502,False
574,1.3688748598,3.9431994502,False
575,1.3738971327,3.9431994502,False
576,1.3837641731,3.9431994502,False
577,1.3842056985,3.9431994502,False
578,1.3707052056,3.9431994502,False
579,1.3711311955,3.9431994502,False
580,1.385652307,3.9431994502,False
581,1.3861712165,3.9431994502,False
582,1.3726089394,3.9431994502,False
583,1.373117225,3.9431994502,False
584,1.3735250263,3.9431994502,False
585,1.3740442622,3.9431994502,False
586,1.3745144034,3.9431994502,False
587,1.3750020323,3.9431994502,False
588,1.3754568716,3.9431994502,False
589,1.375899526,3.9431994502,False
590,1.3764007942,3.9431994502,False
591,1.3768453677,3.9431994502,False
592,1.3769798051,3.9431994502,False
593,1.3770210168,3.9431994502,False
594,1.3770240644,3.9431994502,False
